Clé;Libellé;Clé ISIDOR
A;Chaussée unique 1 voie;1V
1;Chaussée unique 2 voies < 7m;2V < 7
2;Chaussée unique 2 voies >= 7m;2V >= 7
B;chaussée unique 3 voies < 10,5m;3V < 10,5
3;chaussée unique 3 voies >= 10,5m;3V >= 10
4;4V chaussée unique 4 voies;4V
C;chaussée unique de plus de 4 voies;> 4V
5; chaussées séparées 2x1 voies;2 x 1V
6;chaussées séparées 2 x 2 voies;2 x 2V
7;chaussées séparées 2 x 3 voies;2 x 3V
8;chaussées séparées 2 x 4 voies; 2 x 4V
D;chaussées séparées de plus de 2 x 4 voies; > 2 x 4V
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
